PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
210,103213015,68617,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,Unspecified,,,,25,AC50,=,25000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
211,103213021,4843,C1CC(=O)N(C1)CC(=O)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
212,103213022,4626,C1C(CN(C1=O)CC(=O)N)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
213,103213418,6834,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
214,103213435,5365247,CN(C)C/C=C(/C1=CC=C(C=C1)Br)\C2=CN=CC=C2,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
215,103214033,5324346,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
216,103215362,5503,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
217,103215824,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
218,103216609,39042,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
219,103219083,5342,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,Unspecified,,,,29.0001,AC50,=,29000.1,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
220,103219988,129211,CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
221,103220500,26248,CC(=O)OC1=CC=CC2=C1C(=O)C3=C(C2=O)C=C(C=C3OC(=O)C)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
222,103220917,2583,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
223,103221450,47510,CC1=C(C(=CC=C1)C)NC(=O)NC(=NC)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
224,103221477,2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
225,103221863,5280453,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,Active,,,,5.6,AC50,=,5600,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
226,103222043,4612,CC(C)NCC1CCC2=CC(=C(C=C2N1)[N+](=O)[O-])CO,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
227,103222736,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,Active,,,,7.5999,AC50,=,7599.9,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
228,103223905,16363,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
229,103223943,24066,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
230,103223987,5282443,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
231,103224166,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
232,103224231,171548,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
233,103224342,6049,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
234,103224438,4060,CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
235,103224449,3519,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
236,103224650,3396,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Unspecified,,,,17.8999,AC50,=,17899.9,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
237,103224683,2564,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
238,103224720,1547484,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
239,103225393,119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
240,103225961,14052,CC[C@@H](CO)NCCN[C@@H](CC)CO,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
241,103228261,14969,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
242,103228872,58258,CN1CCN(CC1)C2=C(C=C3C4=C2SCCN4C=C(C3=O)C(=O)O)F,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
243,103229340,5105,CC(=O)OCC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
244,103231281,5526,C1CC(CCC1CN)C(=O)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
245,103231282,4170,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
246,103232332,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
247,103232542,60877,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
248,103233337,3052776,C#CCN[C@@H]1CCC2=CC=CC=C12,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
249,103233471,60750,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
250,103234269,6098,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
251,103234593,10219,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
252,103234908,4911,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
253,103235071,3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
254,103235960,1234,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
255,103237480,667467,CN(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Unspecified,,,,16,AC50,=,16000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
256,103237600,5311507,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
257,103238173,5732,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
258,103240106,4753,C1=CC=C(C=C1)CC(=O)NC(=O)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
259,103240343,54897,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl,Active,,,,0.1918,AC50,=,191.8,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
260,103240599,60871,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
261,103240795,5479530,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O,Active,,,,0.62,AC50,=,620,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
262,103240839,5245,C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
263,103241510,36811,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
264,103241512,47936,CC(=O)O[C@H]1[C@H]([C@@H]2[C@]([C@H](CCC2(C)C)O)([C@@]3([C@@]1(O[C@@](CC3=O)(C)C=C)C)O)C)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
265,103241607,6915944,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
266,103242469,4495,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
267,103243148,4174,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
268,103244854,392622,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,Active,,,,1.4,AC50,=,1400,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
269,103244983,123631,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Unspecified,,,,20,AC50,=,20000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
270,103245538,119570,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
271,103245600,1549120,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=S)S2)CC(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
272,103246205,16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
273,103248360,1548943,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,Unspecified,,,,12,AC50,=,12000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
274,103249604,5359,CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
275,103250068,104865,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,Active,,,,8,AC50,=,8000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
276,103250293,5071,CC(C12CC3CC(C1)CC(C3)C2)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
277,103252287,31640,C1C(=O)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3)CC(F)(F)F,Unspecified,,,,20,AC50,=,20000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
278,103252336,26757,C[C@H](CC1=CC=CC=C1)N(C)CC#C,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
279,103253261,4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
280,103255183,4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
281,103255535,4064,CCCC(C)(COC(=O)N)COC(=O)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
282,103256810,5284594,C=C1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O,Unspecified,,,,29.9999,AC50,=,29999.9,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
283,103258758,54677946,CCN(C1=CC=CC=C1)C(=O)C2=C(C3=C(C=CC=C3Cl)N(C2=O)C)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
284,103260440,445354,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,Active,,,,4.8,AC50,=,4800,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
285,103261258,2484,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,Unspecified,,,,20,AC50,=,20000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
286,103261382,122262,C1CN(CCN1CCCN2CCN(CC2)C3=C4C=CC(=CC4=NC=C3)Cl)C5=C6C=CC(=CC6=NC=C5)Cl,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
287,103265388,441199,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3,Active,,,,2.4,AC50,=,2400,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
288,103265985,60852,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
289,103266437,443955,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,Unspecified,,,,23.0001,AC50,=,23000.1,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
290,103266539,3191,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,Active,,,,8.7999,AC50,=,8799.9,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
291,103266846,2789,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
292,103267220,2449,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
293,103267492,2972,CC1=C(C(=O)C=CN1C)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
294,103267861,2141,C(CN)CNCCSP(=O)(O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
295,103268010,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,Active,,,,4.3526,AC50,=,4352.6,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
296,103270012,5709,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
297,103271443,2540,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,Active,,,,0.7,AC50,=,700,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
298,103271997,65999,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
299,103272138,667476,C/C=C(/C(=C/C)/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
300,103272403,443951,CCN(CC)C(=O)N[C@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
301,103274495,3690,C1CN(P(=O)(OC1)NCCCl)CCCl,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
302,103276212,68602,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
303,103276928,135409453,CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC,Unspecified,,,,20.8433,AC50,=,20843.3,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
304,103276933,5311037,CCN1C2=C(C(=O)N(C1=O)CC)N(C(=N2)/C=C/C3=CC(=C(C=C3)OC)OC)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
305,103277098,107706,CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
306,103277522,155774,C1COCCN1C(=O)NCCNCC(COC2=CC=C(C=C2)O)O,Unspecified,,,,16,AC50,=,16000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
307,103277564,51634,CCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
308,103278029,55483,C1=CC=C(C=C1)CCNCCCCCCNCCC2=CC(=C(C=C2)O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
309,103278032,68555,CC(C)C(=O)OC1=C(C=C(C=C1)CCNC)OC(=O)C(C)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
310,103280853,2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
311,103282209,564,C(CCC(=O)O)CCN,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
312,103286209,5311221,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1CC[C@H](CCC2=CC=CC=C2)O)O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
313,103287107,5467,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
314,103288110,5510,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2,Active,,,,1.1496,AC50,=,1149.6,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
315,103288373,2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
316,103290097,5486971,CC(C)C[C@@H](CC(=O)O)CN,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
317,103292372,54454,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Active,,,,2.196,AC50,=,2196,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
318,103292404,31729,CC(C(C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
319,103292404,31729,CC(C(C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
320,103292500,2372,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
321,103292864,4235,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
